"ID";"Time";"Month";"Year";"Date";"TL";"Weight";"Fulton";"Cu65";"Cu_water";"Temp_water";"Sal_water"
"ID247";"77";"JAN";2023;2023-01-15;192;117.52;1.660382306;0.137978529;161.0340936;24.90025;11.8333333333333
"ID247";"79.2";"JAN";2023;2023-01-15;192;117.52;1.660382306;0.281515462;161.0340936;24.90025;11.8333333333333
"ID247";"81.5";"JAN";2023;2023-01-15;192;117.52;1.660382306;0.028491793;161.0340936;24.90025;11.8333333333333
"ID248";"77";"JAN";2023;2023-01-15;170;71.74;1.460207612;0.304005677;161.0340936;24.90025;11.8333333333333
"ID248";"79.2";"JAN";2023;2023-01-15;170;71.74;1.460207612;0.343006056;161.0340936;24.90025;11.8333333333333
"ID248";"81.5";"JAN";2023;2023-01-15;170;71.74;1.460207612;1.44411205;161.0340936;24.90025;11.8333333333333
"ID249";"70.2";"JAN";2023;2023-01-15;193;123.13;1.712742019;0.134226694;161.0340936;24.90025;11.8333333333333
"ID249";"72.4";"JAN";2023;2023-01-15;193;123.13;1.712742019;0.117593434;161.0340936;24.90025;11.8333333333333
"ID249";"74.7";"JAN";2023;2023-01-15;193;123.13;1.712742019;0.220337999;161.0340936;24.90025;11.8333333333333
"ID251";"67.9";"JAN";2023;2023-01-15;172;74.81;1.470192876;0.22889388;161.0340936;24.90025;11.8333333333333
"ID251";"70.2";"JAN";2023;2023-01-15;172;74.81;1.470192876;0.384127986;161.0340936;24.90025;11.8333333333333
"ID251";"72.4";"JAN";2023;2023-01-15;172;74.81;1.470192876;0.172219361;161.0340936;24.90025;11.8333333333333
"ID253";"74.7";"JAN";2023;2023-01-15;167;67.94;1.458734079;0.142140708;161.0340936;24.90025;11.8333333333333
"ID253";"77";"JAN";2023;2023-01-15;167;67.94;1.458734079;0.0685762;161.0340936;24.90025;11.8333333333333
"ID253";"79.2";"JAN";2023;2023-01-15;167;67.94;1.458734079;0.634198665;161.0340936;24.90025;11.8333333333333
"ID254";"54.3";"JAN";2023;2023-01-15;172;71.07;1.396693058;0.039208817;161.0340936;24.90025;11.8333333333333
"ID254";"56.6";"JAN";2023;2023-01-15;172;71.07;1.396693058;0.181880723;161.0340936;24.90025;11.8333333333333
"ID254";"58.9";"JAN";2023;2023-01-15;172;71.07;1.396693058;0.014002093;161.0340936;24.90025;11.8333333333333
"ID255";"67.9";"JAN";2023;2023-01-15;162;60.07;1.412903784;0.256411183;161.0340936;24.90025;11.8333333333333
"ID255";"70.2";"JAN";2023;2023-01-15;162;60.07;1.412903784;0.030145831;161.0340936;24.90025;11.8333333333333
"ID255";"72.4";"JAN";2023;2023-01-15;162;60.07;1.412903784;0.210066029;161.0340936;24.90025;11.8333333333333
"ID258";"63.4";"JAN";2023;2023-01-15;141;42.58;1.518966931;0.143468114;161.0340936;24.90025;11.8333333333333
"ID258";"65.6";"JAN";2023;2023-01-15;141;42.58;1.518966931;0.247108615;161.0340936;24.90025;11.8333333333333
"ID258";"67.9";"JAN";2023;2023-01-15;141;42.58;1.518966931;0.17573486;161.0340936;24.90025;11.8333333333333
"ID259";"38.5";"JAN";2023;2023-01-15;129;30.43;1.417531836;0.757805794;161.0340936;24.90025;11.8333333333333
"ID259";"43";"JAN";2023;2023-01-15;129;30.43;1.417531836;0.332019961;161.0340936;24.90025;11.8333333333333
"ID260";"45.3";"JAN";2023;2023-01-15;114;20.57;1.388416409;0.148631112;161.0340936;24.90025;11.8333333333333
"ID260";"47.5";"JAN";2023;2023-01-15;114;20.57;1.388416409;0.170197428;161.0340936;24.90025;11.8333333333333
"ID260";"49.8";"JAN";2023;2023-01-15;114;20.57;1.388416409;0.211562677;161.0340936;24.90025;11.8333333333333
"ID272";"86";"FEB";2023;2023-02-15;199;134.04;1.700885935;0.120865199;169.5898082;25.44275;9.5
"ID272";"88.3";"FEB";2023;2023-02-15;199;134.04;1.700885935;0.254636409;169.5898082;25.44275;9.5
"ID272";"90.5";"FEB";2023;2023-02-15;199;134.04;1.700885935;0.289266905;169.5898082;25.44275;9.5
"ID273";"81.5";"FEB";2023;2023-02-15;200;136.63;1.707875;0.175690075;169.5898082;25.44275;9.5
"ID273";"83.8";"FEB";2023;2023-02-15;200;136.63;1.707875;0.107872276;169.5898082;25.44275;9.5
"ID273";"86";"FEB";2023;2023-02-15;200;136.63;1.707875;0.143859853;169.5898082;25.44275;9.5
"ID274";"72.4";"FEB";2023;2023-02-15;205;134.37;1.559698786;0.13615558;169.5898082;25.44275;9.5
"ID274";"74.7";"FEB";2023;2023-02-15;205;134.37;1.559698786;0.395591242;169.5898082;25.44275;9.5
"ID274";"77";"FEB";2023;2023-02-15;205;134.37;1.559698786;0.035602458;169.5898082;25.44275;9.5
"ID275";"79.2";"FEB";2023;2023-02-15;200;125.87;1.573375;0.078983737;169.5898082;25.44275;9.5
"ID275";"81.5";"FEB";2023;2023-02-15;200;125.87;1.573375;0.119331109;169.5898082;25.44275;9.5
"ID275";"83.8";"FEB";2023;2023-02-15;200;125.87;1.573375;0.343644087;169.5898082;25.44275;9.5
"ID277";"70.2";"FEB";2023;2023-02-15;175;95.32;1.778565598;0.122613234;169.5898082;25.44275;9.5
"ID277";"74.7";"FEB";2023;2023-02-15;175;95.32;1.778565598;0.090849674;169.5898082;25.44275;9.5
"ID278";"72.4";"FEB";2023;2023-02-15;174;81.01;1.537768241;0.109279848;169.5898082;25.44275;9.5
"ID278";"74.7";"FEB";2023;2023-02-15;174;81.01;1.537768241;0.238799967;169.5898082;25.44275;9.5
"ID278";"77";"FEB";2023;2023-02-15;174;81.01;1.537768241;0.11154;169.5898082;25.44275;9.5
"ID279";"79.2";"FEB";2023;2023-02-15;165;71.9;1.600578791;0.060331228;169.5898082;25.44275;9.5
"ID279";"81.5";"FEB";2023;2023-02-15;165;71.9;1.600578791;0.039502251;169.5898082;25.44275;9.5
"ID279";"83.8";"FEB";2023;2023-02-15;165;71.9;1.600578791;0.068887586;169.5898082;25.44275;9.5
"ID280";"77";"FEB";2023;2023-02-15;165;66.95;1.490385953;0.034916388;169.5898082;25.44275;9.5
"ID280";"79.2";"FEB";2023;2023-02-15;165;66.95;1.490385953;0.11484994;169.5898082;25.44275;9.5
"ID280";"81.5";"FEB";2023;2023-02-15;165;66.95;1.490385953;0.32952797;169.5898082;25.44275;9.5
"ID281";"74.7";"FEB";2023;2023-02-15;160;71.34;1.741699219;0.164196451;169.5898082;25.44275;9.5
"ID281";"77";"FEB";2023;2023-02-15;160;71.34;1.741699219;0.133313934;169.5898082;25.44275;9.5
"ID281";"79.2";"FEB";2023;2023-02-15;160;71.34;1.741699219;0.05871215;169.5898082;25.44275;9.5
"ID282";"67.9";"FEB";2023;2023-02-15;161;59.34;1.421902815;0.142297982;169.5898082;25.44275;9.5
"ID282";"70.2";"FEB";2023;2023-02-15;161;59.34;1.421902815;0.151108864;169.5898082;25.44275;9.5
"ID282";"72.4";"FEB";2023;2023-02-15;161;59.34;1.421902815;0.040533746;169.5898082;25.44275;9.5
"ID283";"56.6";"FEB";2023;2023-02-15;155;62.84;1.68748951;0.216714295;169.5898082;25.44275;9.5
"ID283";"58.9";"FEB";2023;2023-02-15;155;62.84;1.68748951;0.212176528;169.5898082;25.44275;9.5
"ID283";"61.1";"FEB";2023;2023-02-15;155;62.84;1.68748951;0.333417103;169.5898082;25.44275;9.5
"ID284";"63.4";"FEB";2023;2023-02-15;157;71.77;1.85457324;0.169732109;169.5898082;25.44275;9.5
"ID284";"65.6";"FEB";2023;2023-02-15;157;71.77;1.85457324;0.445262822;169.5898082;25.44275;9.5
"ID284";"67.9";"FEB";2023;2023-02-15;157;71.77;1.85457324;0.222621276;169.5898082;25.44275;9.5
"ID285";"63.4";"FEB";2023;2023-02-15;150;55.37;1.640592593;0.046866055;169.5898082;25.44275;9.5
"ID285";"65.6";"FEB";2023;2023-02-15;150;55.37;1.640592593;0.00767809;169.5898082;25.44275;9.5
"ID285";"67.9";"FEB";2023;2023-02-15;150;55.37;1.640592593;0.11599075;169.5898082;25.44275;9.5
"ID286";"63.4";"FEB";2023;2023-02-15;140;42.22;1.538629738;0.22055989;169.5898082;25.44275;9.5
"ID286";"65.6";"FEB";2023;2023-02-15;140;42.22;1.538629738;0.031995313;169.5898082;25.44275;9.5
"ID286";"67.9";"FEB";2023;2023-02-15;140;42.22;1.538629738;0.310272478;169.5898082;25.44275;9.5
"ID287";"49.8";"FEB";2023;2023-02-15;125;32.73;1.675776;0.104096209;169.5898082;25.44275;9.5
"ID287";"52.1";"FEB";2023;2023-02-15;125;32.73;1.675776;0.085967221;169.5898082;25.44275;9.5
"ID287";"54.3";"FEB";2023;2023-02-15;125;32.73;1.675776;0.040812221;169.5898082;25.44275;9.5
"ID322";"83.8";"MAR";2023;2023-03-15;226;187.93;1.628061462;0.116047063;151.8213664;27.21775;10.1666666666667
"ID322";"86";"MAR";2023;2023-03-15;226;187.93;1.628061462;0.114466536;151.8213664;27.21775;10.1666666666667
"ID322";"88.3";"MAR";2023;2023-03-15;226;187.93;1.628061462;0.170572783;151.8213664;27.21775;10.1666666666667
"ID323";"74.7";"MAR";2023;2023-03-15;197;151.43;1.980675109;0.514346723;151.8213664;27.21775;10.1666666666667
"ID323";"77";"MAR";2023;2023-03-15;197;151.43;1.980675109;0.430057857;151.8213664;27.21775;10.1666666666667
"ID323";"79.2";"MAR";2023;2023-03-15;197;151.43;1.980675109;0.395372612;151.8213664;27.21775;10.1666666666667
"ID324";"70.2";"MAR";2023;2023-03-15;190;122.99;1.79311853;0.14369665;151.8213664;27.21775;10.1666666666667
"ID324";"72.4";"MAR";2023;2023-03-15;190;122.99;1.79311853;0.213497338;151.8213664;27.21775;10.1666666666667
"ID324";"74.7";"MAR";2023;2023-03-15;190;122.99;1.79311853;0.835481421;151.8213664;27.21775;10.1666666666667
"ID326";"88.3";"MAR";2023;2023-03-15;200;137.53;1.719125;0.079954907;151.8213664;27.21775;10.1666666666667
"ID326";"90.5";"MAR";2023;2023-03-15;200;137.53;1.719125;0.215771779;151.8213664;27.21775;10.1666666666667
"ID326";"92.8";"MAR";2023;2023-03-15;200;137.53;1.719125;0.132042591;151.8213664;27.21775;10.1666666666667
"ID327";"67.9";"MAR";2023;2023-03-15;190;112.58;1.641347135;0.088378569;151.8213664;27.21775;10.1666666666667
"ID327";"70.2";"MAR";2023;2023-03-15;190;112.58;1.641347135;0.126765121;151.8213664;27.21775;10.1666666666667
"ID327";"72.4";"MAR";2023;2023-03-15;190;112.58;1.641347135;0.124616721;151.8213664;27.21775;10.1666666666667
"ID328";"83.8";"MAR";2023;2023-03-15;189;109.14;1.616584971;0.156360211;151.8213664;27.21775;10.1666666666667
"ID328";"86";"MAR";2023;2023-03-15;189;109.14;1.616584971;0.34494693;151.8213664;27.21775;10.1666666666667
"ID328";"88.3";"MAR";2023;2023-03-15;189;109.14;1.616584971;0.319131289;151.8213664;27.21775;10.1666666666667
"ID331";"70.2";"MAR";2023;2023-03-15;177;101.88;1.837253728;0.355002704;151.8213664;27.21775;10.1666666666667
"ID331";"72.4";"MAR";2023;2023-03-15;177;101.88;1.837253728;0.235887386;151.8213664;27.21775;10.1666666666667
"ID331";"74.7";"MAR";2023;2023-03-15;177;101.88;1.837253728;0.341380067;151.8213664;27.21775;10.1666666666667
"ID333";"90.5";"MAR";2023;2023-03-15;212;148.74;1.561062152;0.238636687;151.8213664;27.21775;10.1666666666667
"ID333";"92.8";"MAR";2023;2023-03-15;212;148.74;1.561062152;0.047416636;151.8213664;27.21775;10.1666666666667
"ID333";"95.1";"MAR";2023;2023-03-15;212;148.74;1.561062152;0.301609857;151.8213664;27.21775;10.1666666666667
"ID335";"65.6";"MAR";2023;2023-03-15;181;98.22;1.656396123;0.503775119;151.8213664;27.21775;10.1666666666667
"ID335";"67.9";"MAR";2023;2023-03-15;181;98.22;1.656396123;0.325516553;151.8213664;27.21775;10.1666666666667
"ID335";"70.2";"MAR";2023;2023-03-15;181;98.22;1.656396123;0.152536355;151.8213664;27.21775;10.1666666666667
"ID336";"81.5";"MAR";2023;2023-03-15;160;66.79;1.630615234;0.055603194;151.8213664;27.21775;10.1666666666667
"ID336";"83.8";"MAR";2023;2023-03-15;160;66.79;1.630615234;0.187974455;151.8213664;27.21775;10.1666666666667
"ID336";"86";"MAR";2023;2023-03-15;160;66.79;1.630615234;0.942853349;151.8213664;27.21775;10.1666666666667
"ID374";"90.5";"APR";2023;2023-04-15;235;212.5;1.637402117;0.153885808;123.7126268;28.15525;10.8333333333333
"ID374";"92.8";"APR";2023;2023-04-15;235;212.5;1.637402117;0.387908073;123.7126268;28.15525;10.8333333333333
"ID374";"95.1";"APR";2023;2023-04-15;235;212.5;1.637402117;0.083008309;123.7126268;28.15525;10.8333333333333
"ID376";"81.5";"APR";2023;2023-04-15;223;192.46;1.735505092;0.174839118;123.7126268;28.15525;10.8333333333333
"ID376";"83.8";"APR";2023;2023-04-15;223;192.46;1.735505092;0.27270021;123.7126268;28.15525;10.8333333333333
"ID376";"86";"APR";2023;2023-04-15;223;192.46;1.735505092;0.150803996;123.7126268;28.15525;10.8333333333333
"ID378";"79.2";"APR";2023;2023-04-15;215;128.54;1.293370395;0.149257728;123.7126268;28.15525;10.8333333333333
"ID378";"81.5";"APR";2023;2023-04-15;215;128.54;1.293370395;0.200257144;123.7126268;28.15525;10.8333333333333
"ID378";"83.8";"APR";2023;2023-04-15;215;128.54;1.293370395;0.204106286;123.7126268;28.15525;10.8333333333333
"ID381";"74.7";"APR";2023;2023-04-15;233;210.75;1.666095227;0.163202367;123.7126268;28.15525;10.8333333333333
"ID381";"77";"APR";2023;2023-04-15;233;210.75;1.666095227;0.185578794;123.7126268;28.15525;10.8333333333333
"ID381";"79.2";"APR";2023;2023-04-15;233;210.75;1.666095227;0.220277832;123.7126268;28.15525;10.8333333333333
"ID382";"77";"APR";2023;2023-04-15;210;174.49;1.884137782;0.173977128;123.7126268;28.15525;10.8333333333333
"ID382";"79.2";"APR";2023;2023-04-15;210;174.49;1.884137782;0.361129475;123.7126268;28.15525;10.8333333333333
"ID382";"81.5";"APR";2023;2023-04-15;210;174.49;1.884137782;0.540094669;123.7126268;28.15525;10.8333333333333
"ID383";"88.3";"APR";2023;2023-04-15;198;147.37;1.898512726;0.419742717;123.7126268;28.15525;10.8333333333333
"ID383";"90.5";"APR";2023;2023-04-15;198;147.37;1.898512726;0.242235333;123.7126268;28.15525;10.8333333333333
"ID383";"92.8";"APR";2023;2023-04-15;198;147.37;1.898512726;0.330337206;123.7126268;28.15525;10.8333333333333
"ID385";"88.3";"APR";2023;2023-04-15;200;184.81;2.310125;0.075075977;123.7126268;28.15525;10.8333333333333
"ID385";"90.5";"APR";2023;2023-04-15;200;184.81;2.310125;0.058732786;123.7126268;28.15525;10.8333333333333
"ID385";"92.8";"APR";2023;2023-04-15;200;184.81;2.310125;0.087621476;123.7126268;28.15525;10.8333333333333
"ID386";"67.9";"APR";2023;2023-04-15;230;204.86;1.683734692;0.112171647;123.7126268;28.15525;10.8333333333333
"ID386";"70.2";"APR";2023;2023-04-15;230;204.86;1.683734692;0.283148533;123.7126268;28.15525;10.8333333333333
"ID386";"72.4";"APR";2023;2023-04-15;230;204.86;1.683734692;0.950593163;123.7126268;28.15525;10.8333333333333
"ID388";"81.5";"APR";2023;2023-04-15;185;107.91;1.704301818;0.053101285;123.7126268;28.15525;10.8333333333333
"ID388";"83.8";"APR";2023;2023-04-15;185;107.91;1.704301818;0.223466839;123.7126268;28.15525;10.8333333333333
"ID388";"86";"APR";2023;2023-04-15;185;107.91;1.704301818;0.174222508;123.7126268;28.15525;10.8333333333333
"ID390";"58.9";"APR";2023;2023-04-15;129;35.91;1.672808684;0.173926921;123.7126268;28.15525;10.8333333333333
"ID390";"61.1";"APR";2023;2023-04-15;129;35.91;1.672808684;0.147256609;123.7126268;28.15525;10.8333333333333
"ID390";"63.4";"APR";2023;2023-04-15;129;35.91;1.672808684;0.699500296;123.7126268;28.15525;10.8333333333333
"ID480";"92.8";"MAY";2023;2023-05-15;225;207.01;1.817371742;0.283206598;105.898665564;28.9625;14.1666666666667
"ID480";"95.1";"MAY";2023;2023-05-15;225;207.01;1.817371742;0.105375586;105.898665564;28.9625;14.1666666666667
"ID480";"97.3";"MAY";2023;2023-05-15;225;207.01;1.817371742;0.120151251;105.898665564;28.9625;14.1666666666667
"ID481";"79.2";"MAY";2023;2023-05-15;205;144.96;1.682622133;0.097977483;105.898665564;28.9625;14.1666666666667
"ID481";"81.5";"MAY";2023;2023-05-15;205;144.96;1.682622133;0.166869038;105.898665564;28.9625;14.1666666666667
"ID481";"83.8";"MAY";2023;2023-05-15;205;144.96;1.682622133;0.078112822;105.898665564;28.9625;14.1666666666667
"ID482";"72.4";"MAY";2023;2023-05-15;180;100.04;1.715363512;0.583371195;105.898665564;28.9625;14.1666666666667
"ID482";"74.7";"MAY";2023;2023-05-15;180;100.04;1.715363512;0.211539445;105.898665564;28.9625;14.1666666666667
"ID482";"77";"MAY";2023;2023-05-15;180;100.04;1.715363512;0.630994245;105.898665564;28.9625;14.1666666666667
"ID487";"54.3";"MAY";2023;2023-05-15;160;72.32;1.765625;0.15908428;105.898665564;28.9625;14.1666666666667
"ID487";"56.6";"MAY";2023;2023-05-15;160;72.32;1.765625;0.176873771;105.898665564;28.9625;14.1666666666667
"ID487";"58.9";"MAY";2023;2023-05-15;160;72.32;1.765625;0.317495039;105.898665564;28.9625;14.1666666666667
"ID488";"56.6";"MAY";2023;2023-05-15;137;46.67;1.814997785;0.109856971;105.898665564;28.9625;14.1666666666667
"ID488";"58.9";"MAY";2023;2023-05-15;137;46.67;1.814997785;0.110152082;105.898665564;28.9625;14.1666666666667
"ID488";"61.1";"MAY";2023;2023-05-15;137;46.67;1.814997785;0.145891582;105.898665564;28.9625;14.1666666666667
"ID489";"65.6";"MAY";2023;2023-05-15;130;39.36;1.79153391;1.041640386;105.898665564;28.9625;14.1666666666667
"ID489";"67.9";"MAY";2023;2023-05-15;130;39.36;1.79153391;0.132988158;105.898665564;28.9625;14.1666666666667
"ID489";"70.2";"MAY";2023;2023-05-15;130;39.36;1.79153391;0.497986304;105.898665564;28.9625;14.1666666666667
"ID494";"63.4";"MAY";2023;2023-05-15;205;125.87;1.461035098;0.233514677;105.898665564;28.9625;14.1666666666667
"ID494";"65.6";"MAY";2023;2023-05-15;205;125.87;1.461035098;0.121681144;105.898665564;28.9625;14.1666666666667
"ID494";"67.9";"MAY";2023;2023-05-15;205;125.87;1.461035098;0.115384233;105.898665564;28.9625;14.1666666666667
"ID495";"83.8";"MAY";2023;2023-05-15;210;162.5;1.754670122;0.413857384;105.898665564;28.9625;14.1666666666667
"ID495";"86";"MAY";2023;2023-05-15;210;162.5;1.754670122;0.436291325;105.898665564;28.9625;14.1666666666667
"ID495";"88.3";"MAY";2023;2023-05-15;210;162.5;1.754670122;0.717775639;105.898665564;28.9625;14.1666666666667
"ID496";"97.3";"MAY";2023;2023-05-15;205;129.01;1.497482625;0.267752125;105.898665564;28.9625;14.1666666666667
"ID496";"99.6";"MAY";2023;2023-05-15;205;129.01;1.497482625;0.322878417;105.898665564;28.9625;14.1666666666667
"ID496";"101.9";"MAY";2023;2023-05-15;205;129.01;1.497482625;0.29094249;105.898665564;28.9625;14.1666666666667
"ID497";"74.7";"MAY";2023;2023-05-15;185;110.38;1.743312341;0.145128955;105.898665564;28.9625;14.1666666666667
"ID497";"77";"MAY";2023;2023-05-15;185;110.38;1.743312341;0.12307584;105.898665564;28.9625;14.1666666666667
"ID497";"79.2";"MAY";2023;2023-05-15;185;110.38;1.743312341;0.590709253;105.898665564;28.9625;14.1666666666667
"ID501";"81.5";"JUN";2023;2023-06-15;194;109.79;1.50368752;0.023117672;89.782416224;30.0475;18.3333333333333
"ID501";"83.8";"JUN";2023;2023-06-15;194;109.79;1.50368752;0.004585304;89.782416224;30.0475;18.3333333333333
"ID501";"86";"JUN";2023;2023-06-15;194;109.79;1.50368752;0.029759369;89.782416224;30.0475;18.3333333333333
"ID502";"70.2";"JUN";2023;2023-06-15;185;98.67;1.558367718;1.551632906;89.782416224;30.0475;18.3333333333333
"ID502";"72.4";"JUN";2023;2023-06-15;185;98.67;1.558367718;1.18574845;89.782416224;30.0475;18.3333333333333
"ID503";"61.1";"JUN";2023;2023-06-15;184;99.45;1.596435286;0.030137983;89.782416224;30.0475;18.3333333333333
"ID503";"63.4";"JUN";2023;2023-06-15;184;99.45;1.596435286;0.178987362;89.782416224;30.0475;18.3333333333333
"ID503";"65.6";"JUN";2023;2023-06-15;184;99.45;1.596435286;0.291389488;89.782416224;30.0475;18.3333333333333
"ID504";"79.2";"JUN";2023;2023-06-15;184;87.88;1.410706214;0.534665999;89.782416224;30.0475;18.3333333333333
"ID504";"81.5";"JUN";2023;2023-06-15;184;87.88;1.410706214;0.597131822;89.782416224;30.0475;18.3333333333333
"ID504";"83.8";"JUN";2023;2023-06-15;184;87.88;1.410706214;0.720985465;89.782416224;30.0475;18.3333333333333
"ID506";"61.1";"JUN";2023;2023-06-15;181;89.65;1.511870417;0.173365939;89.782416224;30.0475;18.3333333333333
"ID506";"63.4";"JUN";2023;2023-06-15;181;89.65;1.511870417;0.268545092;89.782416224;30.0475;18.3333333333333
"ID506";"65.6";"JUN";2023;2023-06-15;181;89.65;1.511870417;0.027822932;89.782416224;30.0475;18.3333333333333
"ID508";"43";"JUN";2023;2023-06-15;165;66.77;1.486378941;0.402030023;89.782416224;30.0475;18.3333333333333
"ID508";"45.3";"JUN";2023;2023-06-15;165;66.77;1.486378941;0.335533394;89.782416224;30.0475;18.3333333333333
"ID508";"47.5";"JUN";2023;2023-06-15;165;66.77;1.486378941;1.143391725;89.782416224;30.0475;18.3333333333333
"ID509";"79.2";"JUN";2023;2023-06-15;200;112.52;1.4065;0.20572772;89.782416224;30.0475;18.3333333333333
"ID509";"81.5";"JUN";2023;2023-06-15;200;112.52;1.4065;0.341206711;89.782416224;30.0475;18.3333333333333
"ID509";"83.8";"JUN";2023;2023-06-15;200;112.52;1.4065;0.899473093;89.782416224;30.0475;18.3333333333333
"ID510";"54.3";"JUN";2023;2023-06-15;178;84.35;1.495633141;0.228079454;89.782416224;30.0475;18.3333333333333
"ID510";"56.6";"JUN";2023;2023-06-15;178;84.35;1.495633141;0.071559815;89.782416224;30.0475;18.3333333333333
"ID510";"58.9";"JUN";2023;2023-06-15;178;84.35;1.495633141;0.160294578;89.782416224;30.0475;18.3333333333333
"ID511";"79.2";"JUN";2023;2023-06-15;159;64.04;1.593162041;0.166212609;89.782416224;30.0475;18.3333333333333
"ID511";"81.5";"JUN";2023;2023-06-15;159;64.04;1.593162041;0.401133087;89.782416224;30.0475;18.3333333333333
"ID511";"83.8";"JUN";2023;2023-06-15;159;64.04;1.593162041;1.264465418;89.782416224;30.0475;18.3333333333333
"ID514";"63.4";"JUN";2023;2023-06-15;138;38.6;1.468757325;0.059170815;89.782416224;30.0475;18.3333333333333
"ID514";"65.6";"JUN";2023;2023-06-15;138;38.6;1.468757325;0.17863083;89.782416224;30.0475;18.3333333333333
"ID514";"67.9";"JUN";2023;2023-06-15;138;38.6;1.468757325;0.674906014;89.782416224;30.0475;18.3333333333333
